image,label
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_002.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_002.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_004.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_004.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_010.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_010.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_012.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_012.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_015.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_015.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_016.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_016.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_022.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_022.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_024.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_024.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_026.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_026.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_031.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_031.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_032.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_032.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_038.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_038.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_040.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_040.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_044.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_044.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_045.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_045.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_049.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_049.png
/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/image/gdrishtiGS_051.png,/data2/jianghao/TTA-MT/data/Fundus-doFE/Domain1/train/ROIs/mask/gdrishtiGS_051.png
