image,label
../data/Fundus-doFE/Domain2/train/ROIs/image/G-1-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-1-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-10-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-10-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-11-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-11-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-12-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-12-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-13-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-13-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-14-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-14-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-15-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-15-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-16-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-16-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-17-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-17-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-18-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-18-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-19-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-19-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-20-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-20-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-21-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-21-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-3-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-3-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-32-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-32-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-33-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-33-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-34-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-34-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-35-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-35-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-36-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-36-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-37-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-37-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-38-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-38-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-39-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-39-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-4-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-4-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-5-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-5-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-6-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-6-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-7-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-7-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-8-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-8-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/G-9-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/G-9-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-10-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-10-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-11-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-11-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-12-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-12-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-13-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-13-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-14-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-14-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-16-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-16-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-24-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-24-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-25-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-25-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-26-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-26-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-27-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-27-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-5-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-5-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-52-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-52-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-53-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-53-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-54-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-54-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-55-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-55-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-56-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-56-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-58-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-58-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-59-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-59-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-6-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-6-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-61-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-61-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-62-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-62-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-63-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-63-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-64-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-64-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-65-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-65-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-66-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-66-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-67-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-67-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-68-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-68-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-69-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-69-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-7-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-7-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-70-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-70-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-71-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-71-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-72-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-72-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-73-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-73-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-74-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-74-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-75-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-75-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-76-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-76-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-79-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-79-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-8-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-8-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-80-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-80-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-81-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-81-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-82-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-82-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-83-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-83-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-84-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-84-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-85-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-85-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-86-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-86-R.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-87-L.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-87-L.png
../data/Fundus-doFE/Domain2/train/ROIs/image/N-88-R.png,../data/Fundus-doFE/Domain2/train/ROIs/mask/N-88-R.png
