image,label
./data/Fundus-doFE/Domain3/train/image/g0003.jpg,./data/Fundus-doFE/Domain3/train/mask/g0003.jpg
./data/Fundus-doFE/Domain3/train/image/g0005.jpg,./data/Fundus-doFE/Domain3/train/mask/g0005.jpg
./data/Fundus-doFE/Domain3/train/image/g0006.jpg,./data/Fundus-doFE/Domain3/train/mask/g0006.jpg
./data/Fundus-doFE/Domain3/train/image/g0007.jpg,./data/Fundus-doFE/Domain3/train/mask/g0007.jpg
./data/Fundus-doFE/Domain3/train/image/g0009.jpg,./data/Fundus-doFE/Domain3/train/mask/g0009.jpg
./data/Fundus-doFE/Domain3/train/image/g0010.jpg,./data/Fundus-doFE/Domain3/train/mask/g0010.jpg
./data/Fundus-doFE/Domain3/train/image/g0011.jpg,./data/Fundus-doFE/Domain3/train/mask/g0011.jpg
./data/Fundus-doFE/Domain3/train/image/g0012.jpg,./data/Fundus-doFE/Domain3/train/mask/g0012.jpg
./data/Fundus-doFE/Domain3/train/image/g0013.jpg,./data/Fundus-doFE/Domain3/train/mask/g0013.jpg
./data/Fundus-doFE/Domain3/train/image/g0014.jpg,./data/Fundus-doFE/Domain3/train/mask/g0014.jpg
./data/Fundus-doFE/Domain3/train/image/g0016.jpg,./data/Fundus-doFE/Domain3/train/mask/g0016.jpg
./data/Fundus-doFE/Domain3/train/image/g0017.jpg,./data/Fundus-doFE/Domain3/train/mask/g0017.jpg
./data/Fundus-doFE/Domain3/train/image/g0018.jpg,./data/Fundus-doFE/Domain3/train/mask/g0018.jpg
./data/Fundus-doFE/Domain3/train/image/g0019.jpg,./data/Fundus-doFE/Domain3/train/mask/g0019.jpg
./data/Fundus-doFE/Domain3/train/image/g0020.jpg,./data/Fundus-doFE/Domain3/train/mask/g0020.jpg
./data/Fundus-doFE/Domain3/train/image/g0021.jpg,./data/Fundus-doFE/Domain3/train/mask/g0021.jpg
./data/Fundus-doFE/Domain3/train/image/g0022.jpg,./data/Fundus-doFE/Domain3/train/mask/g0022.jpg
./data/Fundus-doFE/Domain3/train/image/g0023.jpg,./data/Fundus-doFE/Domain3/train/mask/g0023.jpg
./data/Fundus-doFE/Domain3/train/image/g0024.jpg,./data/Fundus-doFE/Domain3/train/mask/g0024.jpg
./data/Fundus-doFE/Domain3/train/image/g0025.jpg,./data/Fundus-doFE/Domain3/train/mask/g0025.jpg
./data/Fundus-doFE/Domain3/train/image/g0026.jpg,./data/Fundus-doFE/Domain3/train/mask/g0026.jpg
./data/Fundus-doFE/Domain3/train/image/g0027.jpg,./data/Fundus-doFE/Domain3/train/mask/g0027.jpg
./data/Fundus-doFE/Domain3/train/image/g0028.jpg,./data/Fundus-doFE/Domain3/train/mask/g0028.jpg
./data/Fundus-doFE/Domain3/train/image/g0029.jpg,./data/Fundus-doFE/Domain3/train/mask/g0029.jpg
./data/Fundus-doFE/Domain3/train/image/g0030.jpg,./data/Fundus-doFE/Domain3/train/mask/g0030.jpg
./data/Fundus-doFE/Domain3/train/image/g0032.jpg,./data/Fundus-doFE/Domain3/train/mask/g0032.jpg
./data/Fundus-doFE/Domain3/train/image/g0034.jpg,./data/Fundus-doFE/Domain3/train/mask/g0034.jpg
./data/Fundus-doFE/Domain3/train/image/g0035.jpg,./data/Fundus-doFE/Domain3/train/mask/g0035.jpg
./data/Fundus-doFE/Domain3/train/image/g0036.jpg,./data/Fundus-doFE/Domain3/train/mask/g0036.jpg
./data/Fundus-doFE/Domain3/train/image/g0037.jpg,./data/Fundus-doFE/Domain3/train/mask/g0037.jpg
./data/Fundus-doFE/Domain3/train/image/g0038.jpg,./data/Fundus-doFE/Domain3/train/mask/g0038.jpg
./data/Fundus-doFE/Domain3/train/image/g0039.jpg,./data/Fundus-doFE/Domain3/train/mask/g0039.jpg
./data/Fundus-doFE/Domain3/train/image/g0040.jpg,./data/Fundus-doFE/Domain3/train/mask/g0040.jpg
./data/Fundus-doFE/Domain3/train/image/n0001.jpg,./data/Fundus-doFE/Domain3/train/mask/n0001.jpg
